proc rank,px,py,nx,ny,time,comm. time,omega 
0,2,2,800,800,4595848999999999488.000000,124685000000000000.000000,1.950000
0,2,2,800,800,4640252000000000000.000000,156106000000000000.000000,1.950000
0,2,2,800,800,4585970999999999488.000000,126148000000000000.000000,1.950000
0,2,2,800,800,4716137000000000000.000000,195736000000000000.000000,1.950000
0,2,2,800,800,4599336999999999488.000000,130445999999999984.000000,1.950000
0,2,2,800,800,4645184000000000000.000000,149862000000000000.000000,1.950000
0,2,2,800,800,4701696000000000000.000000,177924000000000000.000000,1.950000
0,2,2,800,800,4696394000000000000.000000,173593000000000000.000000,1.950000
0,2,2,800,800,4685940000000000000.000000,157287000000000000.000000,1.950000
0,2,2,800,800,4654693000000000000.000000,149479000000000000.000000,1.950000
0,2,2,800,800,4616785000000000000.000000,130425999999999984.000000,1.950000
0,2,2,800,800,4636633000000000000.000000,143421999999999984.000000,1.950000
0,2,2,800,800,4616980000000000000.000000,130140999999999984.000000,1.950000
0,2,2,800,800,4637053000000000000.000000,135743999999999984.000000,1.950000
0,2,2,800,800,4592460999999999488.000000,115923000000000000.000000,1.950000
0,2,2,800,800,4648692000000000000.000000,150293000000000000.000000,1.950000
0,2,2,800,800,4583346999999999488.000000,111360000000000000.000000,1.950000
0,2,2,800,800,4602192999999999488.000000,121118000000000000.000000,1.950000
0,2,2,800,800,4602930999999999488.000000,128124000000000000.000000,1.950000
0,2,2,800,800,4645742000000000000.000000,149684000000000000.000000,1.950000
0,2,2,800,800,4820841000000000000.000000,275538999999999968.000000,1.950000
0,2,2,800,800,4691859000000000000.000000,176478000000000000.000000,1.950000
0,2,2,800,800,4600774999999999488.000000,123470000000000000.000000,1.950000
0,2,2,800,800,4604830999999999488.000000,123167000000000000.000000,1.950000
0,2,2,800,800,4591379999999999488.000000,116833000000000000.000000,1.950000
0,2,2,800,800,4618562000000000000.000000,128748999999999984.000000,1.950000
0,2,2,800,800,4675760000000000000.000000,181073000000000000.000000,1.950000
0,2,2,800,800,4607845999999999488.000000,125670000000000000.000000,1.950000
0,2,2,800,800,4626154000000000000.000000,137346999999999984.000000,1.950000
0,2,2,800,800,4594170999999999488.000000,122752000000000000.000000,1.950000
