proc rank,px,py,nx,ny,time,comm. time,omega 
0,2,2,100,100,5298000000000000.000000,1329000000000000.000000,1.950000
0,2,2,100,100,5318000000000000.000000,1234000000000000.000000,1.950000
0,2,2,100,100,5265000000000000.000000,1174000000000000.000000,1.950000
0,2,2,100,100,5275000000000000.000000,1195000000000000.000000,1.950000
0,2,2,100,100,5539000000000000.000000,1454000000000000.000000,1.950000
0,2,2,100,100,5349000000000000.000000,1301000000000000.000000,1.950000
0,2,2,100,100,5324000000000000.000000,1119999999999999.875000,1.950000
0,2,2,100,100,5180000000000000.000000,1108999999999999.875000,1.950000
0,2,2,100,100,5108000000000000.000000,1087999999999999.875000,1.950000
0,2,2,100,100,5230000000000000.000000,1137000000000000.000000,1.950000
0,2,2,100,100,5197000000000000.000000,1121999999999999.875000,1.950000
0,2,2,100,100,5060000000000000.000000,974000000000000.000000,1.950000
0,2,2,100,100,5302000000000000.000000,1230000000000000.000000,1.950000
0,2,2,100,100,5109000000000000.000000,1033999999999999.875000,1.950000
0,2,2,100,100,5165000000000000.000000,1119999999999999.875000,1.950000
0,2,2,100,100,5163000000000000.000000,1081999999999999.875000,1.950000
0,2,2,100,100,5135000000000000.000000,1070999999999999.875000,1.950000
0,2,2,100,100,5509000000000000.000000,1444000000000000.000000,1.950000
0,2,2,100,100,5404000000000000.000000,1331000000000000.000000,1.950000
0,2,2,100,100,5239000000000000.000000,1164000000000000.000000,1.950000
0,2,2,100,100,5351000000000000.000000,1201000000000000.000000,1.950000
0,2,2,100,100,5029000000000000.000000,937000000000000.000000,1.950000
0,2,2,100,100,5403000000000000.000000,1304000000000000.000000,1.950000
0,2,2,100,100,5376000000000000.000000,1167000000000000.000000,1.950000
0,2,2,100,100,5219000000000000.000000,1135000000000000.000000,1.950000
0,2,2,100,100,5526000000000000.000000,1293000000000000.000000,1.950000
0,2,2,100,100,5409000000000000.000000,1359000000000000.000000,1.950000
0,2,2,100,100,5337000000000000.000000,1302000000000000.000000,1.950000
0,2,2,100,100,5170000000000000.000000,1070999999999999.875000,1.950000
0,2,2,100,100,5243000000000000.000000,1186000000000000.000000,1.950000
1,2,2,100,100,5281000000000000.000000,1202000000000000.000000,1.950000
1,2,2,100,100,5309000000000000.000000,1236000000000000.000000,1.950000
1,2,2,100,100,5256000000000000.000000,1203000000000000.000000,1.950000
1,2,2,100,100,5270000000000000.000000,1158000000000000.000000,1.950000
1,2,2,100,100,5513000000000000.000000,1371000000000000.000000,1.950000
1,2,2,100,100,5335000000000000.000000,1242000000000000.000000,1.950000
1,2,2,100,100,5315000000000000.000000,1211000000000000.000000,1.950000
1,2,2,100,100,5173000000000000.000000,1064999999999999.875000,1.950000
1,2,2,100,100,5101000000000000.000000,1016999999999999.875000,1.950000
1,2,2,100,100,5218000000000000.000000,1103999999999999.875000,1.950000
1,2,2,100,100,5190000000000000.000000,1099999999999999.875000,1.950000
1,2,2,100,100,5051000000000000.000000,944000000000000.000000,1.950000
1,2,2,100,100,5290000000000000.000000,1213000000000000.000000,1.950000
1,2,2,100,100,5104000000000000.000000,1028999999999999.875000,1.950000
1,2,2,100,100,5155000000000000.000000,1130000000000000.000000,1.950000
1,2,2,100,100,5151000000000000.000000,1040999999999999.875000,1.950000
1,2,2,100,100,5129000000000000.000000,1049999999999999.875000,1.950000
1,2,2,100,100,5495000000000000.000000,1386000000000000.000000,1.950000
1,2,2,100,100,5385000000000000.000000,1347000000000000.000000,1.950000
1,2,2,100,100,5233000000000000.000000,1239000000000000.000000,1.950000
1,2,2,100,100,5344000000000000.000000,1274000000000000.000000,1.950000
