proc rank,px,py,nx,ny,time,comm. time,omega
0,3,3,100,100,17698999999999998.000000,14683000000000000.000000,1.950000
0,3,3,100,100,20874000000000000.000000,18031000000000000.000000,1.950000
0,3,3,100,100,23160000000000000.000000,21134000000000000.000000,1.950000
0,3,3,100,100,38215000000000000.000000,33522999999999996.000000,1.950000
0,3,3,100,100,24503000000000000.000000,22689000000000000.000000,1.950000
0,3,3,100,100,29283000000000000.000000,27417000000000000.000000,1.950000
0,3,3,100,100,36130000000000000.000000,28363000000000000.000000,1.950000
0,3,3,100,100,23818000000000000.000000,17078999999999998.000000,1.950000
0,3,3,100,100,31965000000000000.000000,30120000000000000.000000,1.950000
0,3,3,100,100,28579000000000000.000000,25766000000000000.000000,1.950000
0,3,3,100,100,17917999999999998.000000,15996000000000000.000000,1.950000
0,3,3,100,100,22127000000000000.000000,19634000000000000.000000,1.950000
0,3,3,100,100,22183000000000000.000000,17925999999999998.000000,1.950000
0,3,3,100,100,58074000000000000.000000,53262000000000000.000000,1.950000
0,3,3,100,100,21345000000000000.000000,16390999999999998.000000,1.950000
0,3,3,100,100,21550000000000000.000000,19303000000000000.000000,1.950000
0,3,3,100,100,17434999999999998.000000,13920000000000000.000000,1.950000
0,3,3,100,100,23640000000000000.000000,17828999999999998.000000,1.950000
0,3,3,100,100,16866999999999998.000000,14054000000000000.000000,1.950000
0,3,3,100,100,15066000000000000.000000,13239000000000000.000000,1.950000
0,3,3,100,100,15384000000000000.000000,13273000000000000.000000,1.950000
0,3,3,100,100,19348000000000000.000000,17498999999999998.000000,1.950000
0,3,3,100,100,12925000000000000.000000,11091000000000000.000000,1.950000
0,3,3,100,100,13904000000000000.000000,11409000000000000.000000,1.950000
0,3,3,100,100,15707000000000000.000000,12283000000000000.000000,1.950000
0,3,3,100,100,16495999999999998.000000,14113000000000000.000000,1.950000
0,3,3,100,100,11909000000000000.000000,8848999999999999.000000,1.950000
0,3,3,100,100,23463000000000000.000000,20611000000000000.000000,1.950000
0,3,3,100,100,21932000000000000.000000,19939000000000000.000000,1.950000
0,3,3,100,100,23180000000000000.000000,20883000000000000.000000,1.950000
1,3,3,100,100,17687999999999998.000000,13781000000000000.000000,1.950000
1,3,3,100,100,19178000000000000.000000,16340999999999998.000000,1.950000
1,3,3,100,100,23153000000000000.000000,19294000000000000.000000,1.950000
1,3,3,100,100,38206000000000000.000000,35573999999999996.000000,1.950000
1,3,3,100,100,24467000000000000.000000,10660000000000000.000000,1.950000
1,3,3,100,100,29270000000000000.000000,26602000000000000.000000,1.950000
1,3,3,100,100,35650999999999996.000000,31933000000000000.000000,1.950000
1,3,3,100,100,23774000000000000.000000,18397000000000000.000000,1.950000
1,3,3,100,100,31137000000000000.000000,28557000000000000.000000,1.950000
1,3,3,100,100,28571000000000000.000000,23830000000000000.000000,1.950000
1,3,3,100,100,17871999999999998.000000,14876000000000000.000000,1.950000
1,3,3,100,100,22117000000000000.000000,18093000000000000.000000,1.950000
1,3,3,100,100,22139000000000000.000000,17432999999999998.000000,1.950000
1,3,3,100,100,58056000000000000.000000,49586000000000000.000000,1.950000
1,3,3,100,100,21323000000000000.000000,19492000000000000.000000,1.950000
1,3,3,100,100,21550000000000000.000000,19671000000000000.000000,1.950000
1,3,3,100,100,17422999999999998.000000,15609000000000000.000000,1.950000
1,3,3,100,100,23627000000000000.000000,21818000000000000.000000,1.950000
1,3,3,100,100,16857999999999998.000000,12764000000000000.000000,1.950000
1,3,3,100,100,15059000000000000.000000,10723000000000000.000000,1.950000
1,3,3,100,100,15374000000000000.000000,13476000000000000.000000,1.950000
1,3,3,100,100,19337000000000000.000000,17493999999999998.000000,1.950000
1,3,3,100,100,12917000000000000.000000,11070000000000000.000000,1.950000
1,3,3,100,100,13896000000000000.000000,10023000000000000.000000,1.950000
1,3,3,100,100,15695000000000000.000000,10179000000000000.000000,1.950000
1,3,3,100,100,16486999999999998.000000,12278000000000000.000000,1.950000
1,3,3,100,100,11900000000000000.000000,10073000000000000.000000,1.950000
1,3,3,100,100,23452000000000000.000000,19548000000000000.000000,1.950000
1,3,3,100,100,21920000000000000.000000,20077000000000000.000000,1.950000
1,3,3,100,100,23164000000000000.000000,20240000000000000.000000,1.950000
2,3,3,100,100,17686999999999998.000000,14947000000000000.000000,1.950000
2,3,3,100,100,20867000000000000.000000,16438999999999998.000000,1.950000
2,3,3,100,100,23140000000000000.000000,19798000000000000.000000,1.950000
2,3,3,100,100,38202000000000000.000000,35320999999999996.000000,1.950000
2,3,3,100,100,24498000000000000.000000,22604000000000000.000000,1.950000
2,3,3,100,100,29909000000000000.000000,27206000000000000.000000,1.950000
2,3,3,100,100,35543999999999996.000000,33665999999999996.000000,1.950000
2,3,3,100,100,23773000000000000.000000,21901000000000000.000000,1.950000
2,3,3,100,100,31957000000000000.000000,26618000000000000.000000,1.950000
2,3,3,100,100,28565000000000000.000000,25422000000000000.000000,1.950000
2,3,3,100,100,17890999999999998.000000,12767000000000000.000000,1.950000
2,3,3,100,100,22118000000000000.000000,20238000000000000.000000,1.950000
2,3,3,100,100,22172000000000000.000000,19162000000000000.000000,1.950000
2,3,3,100,100,58031000000000000.000000,53673000000000000.000000,1.950000
2,3,3,100,100,21320000000000000.000000,17515999999999998.000000,1.950000
2,3,3,100,100,21546000000000000.000000,19651000000000000.000000,1.950000
2,3,3,100,100,17425999999999998.000000,15442000000000000.000000,1.950000
2,3,3,100,100,23630000000000000.000000,18767000000000000.000000,1.950000
2,3,3,100,100,16858999999999998.000000,14317000000000000.000000,1.950000
2,3,3,100,100,15053000000000000.000000,11073000000000000.000000,1.950000
2,3,3,100,100,15322000000000000.000000,12387000000000000.000000,1.950000
2,3,3,100,100,19344000000000000.000000,16624999999999998.000000,1.950000
2,3,3,100,100,12887000000000000.000000,8002000000000000.000000,1.950000
2,3,3,100,100,13890000000000000.000000,10817000000000000.000000,1.950000
2,3,3,100,100,15667000000000000.000000,12536000000000000.000000,1.950000
2,3,3,100,100,16460999999999998.000000,14087000000000000.000000,1.950000
2,3,3,100,100,11901000000000000.000000,7731000000000000.000000,1.950000
2,3,3,100,100,23449000000000000.000000,20724000000000000.000000,1.950000
2,3,3,100,100,21921000000000000.000000,18973000000000000.000000,1.950000
2,3,3,100,100,23165000000000000.000000,18945000000000000.000000,1.950000
3,3,3,100,100,17683999999999998.000000,15359000000000000.000000,1.950000
3,3,3,100,100,19179000000000000.000000,17094999999999998.000000,1.950000
3,3,3,100,100,23147000000000000.000000,17307999999999998.000000,1.950000
3,3,3,100,100,38207000000000000.000000,34519999999999996.000000,1.950000
3,3,3,100,100,24468000000000000.000000,21678000000000000.000000,1.950000
3,3,3,100,100,29222000000000000.000000,26221000000000000.000000,1.950000
3,3,3,100,100,35651999999999996.000000,33447999999999996.000000,1.950000
3,3,3,100,100,23774000000000000.000000,19620000000000000.000000,1.950000
3,3,3,100,100,31145000000000000.000000,23331000000000000.000000,1.950000
3,3,3,100,100,28565000000000000.000000,26632000000000000.000000,1.950000
3,3,3,100,100,17875999999999998.000000,16020000000000000.000000,1.950000
3,3,3,100,100,22118000000000000.000000,20316000000000000.000000,1.950000
