Global Size,Block Size,Time,Comm Time,Memory Type
50,32,100829,0,cpu
50,32,99410,0,cpu
50,32,1052733,203323,shared
50,32,508751,137897,shared
50,32,639689,160187,global
50,32,7196701,1998552,global
500,32,17470995,0,cpu
500,32,17407639,0,cpu
500,32,2058255,605094,shared
500,32,1123043,570613,shared
500,32,1214031,504915,global
500,32,15368839,4712431,global
2000,32,140747919,0,cpu
2000,32,140309992,0,cpu
2000,32,6008193,3861525,shared
2000,32,5873858,3976562,shared
2000,32,44442113,5834772,global
2000,32,43919727,5903914,global
4000,32,349825339,0,cpu
4000,32,363055025,0,cpu
4000,32,23760620,14930493,shared
4000,32,32858052,15281078,shared
4000,32,92537860,16741992,global
4000,32,91612046,16131480,global
50,64,152589,0,cpu
50,64,158231,0,cpu
50,64,1048248,168110,shared
50,64,468823,121193,shared
50,64,422660,106709,global
50,64,160295,48185,global
500,64,10741160,0,cpu
500,64,10738799,0,cpu
500,64,1779180,478046,shared
500,64,2084829,643027,shared
500,64,1150171,407673,global
500,64,12333421,2186551,global
1000,64,41821311,0,cpu
1000,64,41328528,0,cpu
1000,64,2764275,1295999,shared
1000,64,2464698,1221354,shared
1000,64,22759447,3660708,global
1000,64,24998143,4263097,global
2000,64,137452955,0,cpu
2000,64,137419549,0,cpu
2000,64,6586291,4096921,shared
2000,64,6848704,4230478,shared
2000,64,43293248,5715193,global
2000,64,42663146,5366616,global
4000,64,565895910,0,cpu
4000,64,563939241,0,cpu
4000,64,25851003,16077331,shared
4000,64,32849831,16078806,shared
4000,64,89974162,16054464,global
4000,64,89873408,16096377,global
50,100,100742,0,cpu
50,100,99512,0,cpu
50,100,99242852,1929667,shared
50,100,5678107,1848503,shared
50,100,249752,52890,global
50,100,171474,47788,global
500,100,10705449,0,cpu
500,100,11336879,0,cpu
500,100,6411419,2156905,shared
500,100,6013477,2212289,shared
500,100,767779,356708,global
500,100,636456,322843,global
1000,100,46162331,0,cpu
1000,100,50358152,0,cpu
1000,100,10213346,4767490,shared
1000,100,7409174,3231447,shared
1000,100,1996628,1226226,global
1000,100,2799366,1250642,global
2000,100,138587203,0,cpu
2000,100,142326963,0,cpu
2000,100,10054791,5682538,shared
2000,100,9181584,5359694,shared
2000,100,48401761,6035548,global
2000,100,46731496,5446423,global
4000,100,361259765,0,cpu
4000,100,351605259,0,cpu
4000,100,20472568,16103263,shared
4000,100,19713640,15874689,shared
4000,100,19967396,14255292,global
4000,100,97255851,16198532,global
