proc rank,px,py,nx,ny,time,comm. time,omega 
4,3,3,800,800,8593760999999998976.000000,5800759000000000000.000000,1.950000
4,3,3,800,800,10135320000000000000.000000,7227574000000000000.000000,1.950000
4,3,3,800,800,9080223999999998976.000000,6304630000000000000.000000,1.950000
4,3,3,800,800,8939099999999998976.000000,6195650000000000000.000000,1.950000
4,3,3,800,800,8323776999999998976.000000,5753080000000000000.000000,1.950000
4,3,3,800,800,8253623999999998976.000000,5652663000000000000.000000,1.950000
4,3,3,800,800,8471024999999998976.000000,5619895000000000000.000000,1.950000
4,3,3,800,800,8396066999999998976.000000,5789955000000000000.000000,1.950000
4,3,3,800,800,8154346000000000000.000000,5429678000000000000.000000,1.950000
4,3,3,800,800,8403697999999998976.000000,5650531000000000000.000000,1.950000
4,3,3,800,800,8766392999999998976.000000,5877286000000000000.000000,1.950000
4,3,3,800,800,8264541999999998976.000000,5504900000000000000.000000,1.950000
4,3,3,800,800,8052947000000000000.000000,5299335000000000000.000000,1.950000
4,3,3,800,800,8602266999999998976.000000,5897914000000000000.000000,1.950000
4,3,3,800,800,8334672999999998976.000000,5599650000000000000.000000,1.950000
4,3,3,800,800,8003717000000000000.000000,5347190000000000000.000000,1.950000
4,3,3,800,800,8178907000000000000.000000,5484398000000000000.000000,1.950000
4,3,3,800,800,8303259999999998976.000000,5518007000000000000.000000,1.950000
4,3,3,800,800,8330663999999998976.000000,5709172000000000000.000000,1.950000
4,3,3,800,800,8564332999999998976.000000,5934386000000000000.000000,1.950000
4,3,3,800,800,8299494999999998976.000000,5608213000000000000.000000,1.950000
4,3,3,800,800,7978662000000000000.000000,5385640000000000000.000000,1.950000
4,3,3,800,800,8135501000000000000.000000,5483009000000000000.000000,1.950000
4,3,3,800,800,8085163000000000000.000000,5298395000000000000.000000,1.950000
4,3,3,800,800,8020154000000000000.000000,5362041000000000000.000000,1.950000
4,3,3,800,800,8330599999999998976.000000,5678481000000000000.000000,1.950000
4,3,3,800,800,8341656999999998976.000000,5805868000000000000.000000,1.950000
4,3,3,800,800,8358760999999998976.000000,5568243000000000000.000000,1.950000
4,3,3,800,800,10355121000000000000.000000,7374797000000000000.000000,1.950000
4,3,3,800,800,8972771999999998976.000000,6145650000000000000.000000,1.950000
