proc rank,px,py,nx,ny,time,comm. time,omega
0,2,2,200,200,52367000000000000.000000,4748000000000000.000000,1.950000
0,2,2,200,200,42103000000000000.000000,3044000000000000.000000,1.950000
0,2,2,200,200,41598000000000000.000000,3401000000000000.000000,1.950000
0,2,2,200,200,43905000000000000.000000,4707000000000000.000000,1.950000
0,2,2,200,200,44286000000000000.000000,4218999999999999.500000,1.950000
0,2,2,200,200,41653000000000000.000000,3257000000000000.000000,1.950000
0,2,2,200,200,41356000000000000.000000,2973000000000000.000000,1.950000
0,2,2,200,200,41447000000000000.000000,2724000000000000.000000,1.950000
0,2,2,200,200,40970000000000000.000000,2859000000000000.000000,1.950000
0,2,2,200,200,41026000000000000.000000,2749000000000000.000000,1.950000
0,2,2,200,200,41265000000000000.000000,2918000000000000.000000,1.950000
0,2,2,200,200,41089000000000000.000000,3231000000000000.000000,1.950000
0,2,2,200,200,41151000000000000.000000,2753000000000000.000000,1.950000
0,2,2,200,200,41360000000000000.000000,2612000000000000.000000,1.950000
0,2,2,200,200,41160000000000000.000000,2640000000000000.000000,1.950000
0,2,2,200,200,40822000000000000.000000,2332000000000000.000000,1.950000
0,2,2,200,200,44381000000000000.000000,4901000000000000.000000,1.950000
0,2,2,200,200,43506000000000000.000000,4617000000000000.000000,1.950000
0,2,2,200,200,41049000000000000.000000,2892000000000000.000000,1.950000
0,2,2,200,200,40859000000000000.000000,2933000000000000.000000,1.950000
0,2,2,200,200,40963000000000000.000000,2540000000000000.000000,1.950000
0,2,2,200,200,41028000000000000.000000,2752000000000000.000000,1.950000
0,2,2,200,200,40822000000000000.000000,2667000000000000.000000,1.950000
0,2,2,200,200,41085000000000000.000000,2864000000000000.000000,1.950000
0,2,2,200,200,41063000000000000.000000,3014000000000000.000000,1.950000
0,2,2,200,200,40828000000000000.000000,2775000000000000.000000,1.950000
0,2,2,200,200,40902000000000000.000000,2703000000000000.000000,1.950000
0,2,2,200,200,40926000000000000.000000,2881000000000000.000000,1.950000
0,2,2,200,200,40827000000000000.000000,2948000000000000.000000,1.950000
0,2,2,200,200,40981000000000000.000000,2760000000000000.000000,1.950000
1,2,2,200,200,52260000000000000.000000,6019000000000000.000000,1.950000
1,2,2,200,200,42089000000000000.000000,5408000000000000.000000,1.950000
1,2,2,200,200,41586000000000000.000000,5139000000000000.000000,1.950000
1,2,2,200,200,43839000000000000.000000,6626000000000000.000000,1.950000
1,2,2,200,200,44270000000000000.000000,6896000000000000.000000,1.950000
1,2,2,200,200,41639000000000000.000000,5574000000000000.000000,1.950000
1,2,2,200,200,41346000000000000.000000,5166000000000000.000000,1.950000
1,2,2,200,200,41437000000000000.000000,5078000000000000.000000,1.950000
1,2,2,200,200,40957000000000000.000000,4559000000000000.000000,1.950000
1,2,2,200,200,41016000000000000.000000,5032000000000000.000000,1.950000
1,2,2,200,200,41191000000000000.000000,4822000000000000.000000,1.950000
1,2,2,200,200,41077000000000000.000000,4531000000000000.000000,1.950000
1,2,2,200,200,41144000000000000.000000,4913000000000000.000000,1.950000
1,2,2,200,200,41321000000000000.000000,5433000000000000.000000,1.950000
1,2,2,200,200,41145000000000000.000000,5025000000000000.000000,1.950000
1,2,2,200,200,40802000000000000.000000,4512000000000000.000000,1.950000
1,2,2,200,200,44367000000000000.000000,7256000000000000.000000,1.950000
1,2,2,200,200,43491000000000000.000000,7075000000000000.000000,1.950000
1,2,2,200,200,41037000000000000.000000,4636000000000000.000000,1.950000
