proc rank,px,py,nx,ny,time,comm. time,omega 
0,3,3,800,800,8593864999999998976.000000,5849074000000000000.000000,1.950000
0,3,3,800,800,10135427000000000000.000000,7161184000000000000.000000,1.950000
0,3,3,800,800,9080247999999998976.000000,6334044000000000000.000000,1.950000
0,3,3,800,800,8939120999999998976.000000,6157711000000000000.000000,1.950000
0,3,3,800,800,8323786999999998976.000000,5519573000000000000.000000,1.950000
0,3,3,800,800,8253656999999998976.000000,5500987000000000000.000000,1.950000
0,3,3,800,800,8472925999999998976.000000,5864521000000000000.000000,1.950000
0,3,3,800,800,8396550999999998976.000000,5829234000000000000.000000,1.950000
0,3,3,800,800,8154781000000000000.000000,5526003000000000000.000000,1.950000
0,3,3,800,800,8403950999999998976.000000,5711728000000000000.000000,1.950000
0,3,3,800,800,8766411999999998976.000000,6028247000000000000.000000,1.950000
0,3,3,800,800,8264582999999998976.000000,5708871000000000000.000000,1.950000
0,3,3,800,800,8053649000000000000.000000,5382913000000000000.000000,1.950000
0,3,3,800,800,8602546999999998976.000000,5971784000000000000.000000,1.950000
0,3,3,800,800,8334700999999998976.000000,5712187000000000000.000000,1.950000
0,3,3,800,800,8004358000000000000.000000,5434081000000000000.000000,1.950000
0,3,3,800,800,8179229000000000000.000000,5465887000000000000.000000,1.950000
0,3,3,800,800,8303324999999998976.000000,5602666000000000000.000000,1.950000
0,3,3,800,800,8332177999999998976.000000,5701764000000000000.000000,1.950000
0,3,3,800,800,8564355999999998976.000000,5998736000000000000.000000,1.950000
0,3,3,800,800,8299613999999998976.000000,5558093000000000000.000000,1.950000
0,3,3,800,800,7979268000000000000.000000,5442140000000000000.000000,1.950000
0,3,3,800,800,8135519000000000000.000000,5572890000000000000.000000,1.950000
0,3,3,800,800,8085175000000000000.000000,5454548000000000000.000000,1.950000
0,3,3,800,800,8020190000000000000.000000,5285941000000000000.000000,1.950000
0,3,3,800,800,8330709999999998976.000000,5657184000000000000.000000,1.950000
0,3,3,800,800,8342265999999998976.000000,5638210000000000000.000000,1.950000
0,3,3,800,800,8358815999999998976.000000,5659583000000000000.000000,1.950000
0,3,3,800,800,10355246000000000000.000000,7513863000000000000.000000,1.950000
0,3,3,800,800,8972795999999998976.000000,6288204000000000000.000000,1.950000
1,3,3,800,800,8593835999999998976.000000,6001538000000000000.000000,1.950000
1,3,3,800,800,10135396000000000000.000000,7177753000000000000.000000,1.950000
1,3,3,800,800,9079575999999998976.000000,6304061000000000000.000000,1.950000
1,3,3,800,800,8938349999999998976.000000,6166802000000000000.000000,1.950000
1,3,3,800,800,8323773999999998976.000000,5682237000000000000.000000,1.950000
1,3,3,800,800,8253594999999998976.000000,5636372000000000000.000000,1.950000
1,3,3,800,800,8472889999999998976.000000,5775333000000000000.000000,1.950000
1,3,3,800,800,8396530999999998976.000000,5648788000000000000.000000,1.950000
1,3,3,800,800,8154709000000000000.000000,5368698000000000000.000000,1.950000
1,3,3,800,800,8403913999999998976.000000,5689876000000000000.000000,1.950000
1,3,3,800,800,8766388999999998976.000000,6013327000000000000.000000,1.950000
1,3,3,800,800,8264551999999998976.000000,5576209000000000000.000000,1.950000
1,3,3,800,800,8053593000000000000.000000,5491350000000000000.000000,1.950000
1,3,3,800,800,8602534999999998976.000000,5921374000000000000.000000,1.950000
1,3,3,800,800,8334071999999998976.000000,5620075000000000000.000000,1.950000
1,3,3,800,800,8004312000000000000.000000,5358111000000000000.000000,1.950000
1,3,3,800,800,8179225000000000000.000000,5465790000000000000.000000,1.950000
1,3,3,800,800,8303296999999998976.000000,5456987000000000000.000000,1.950000
1,3,3,800,800,8332155999999998976.000000,5618995000000000000.000000,1.950000
1,3,3,800,800,8563654999999998976.000000,5724071000000000000.000000,1.950000
1,3,3,800,800,8299600999999998976.000000,5591465000000000000.000000,1.950000
1,3,3,800,800,7979245000000000000.000000,5357315000000000000.000000,1.950000
1,3,3,800,800,8135496000000000000.000000,5468384000000000000.000000,1.950000
1,3,3,800,800,8085162000000000000.000000,5477690000000000000.000000,1.950000
1,3,3,800,800,8020170000000000000.000000,5298811000000000000.000000,1.950000
1,3,3,800,800,8330698999999998976.000000,5599573000000000000.000000,1.950000
1,3,3,800,800,8342250999999998976.000000,5613595000000000000.000000,1.950000
1,3,3,800,800,8358803999999998976.000000,5633656000000000000.000000,1.950000
1,3,3,800,800,10354926000000000000.000000,7388579000000000000.000000,1.950000
1,3,3,800,800,8972773999999998976.000000,6292130000000000000.000000,1.950000
2,3,3,800,800,8593753999999998976.000000,5877930000000000000.000000,1.950000
